phage,numprot,host
Pseudomonas phage LKA5,66,Pseudomonas
Enterobacteria phage N15,66,Enterobacteria
Staphylococcus phage phiETA,66,Staphylococcus
Mycobacterium phage Butters,66,Mycobacterium
Enterobacteria phage mEpX1,66,Enterobacteria
Rhodococcus phage TWAMP,66,Rhodococcus
Burkholderia phage Bcep781 (isolate -/United States/Beer/1978),66,Burkholderia
Clostridium phage phiCTC2B,66,Clostridium
Rhodococcus phage Rhodalysa,66,Rhodococcus
Rhodococcus phage Lillie,66,Rhodococcus
Edwardsiella phage MSW-3,66,Edwardsiella
Streptococcus phage phi-SsUD.1,66,Streptococcus
Staphylococcus phage 23MRA,66,Staphylococcus
Stx2-converting phage Stx2a_WGPS2,66,Escherichia
Enterococcus phage phiFL3B,66,Enterococcus
Bacillus phage Silence,66,Bacillus
Staphylococcus phage 3MRA,66,Staphylococcus
Rhodococcus phage RGL3,66,Rhodococcus
Bacillus phage vB_BhaS-171,66,Bacillus
Tetrasphaera phage TJE1,66,Tetrasphaera
Bacillus phage proCM3,66,Bacillus
Listeria phage A500,66,Listeria
Staphylococcus phage Ipla5,66,Staphylococcus
Idiomarinaceae phage Phi1M2-2,65,Idiomarinaceae
Flavobacterium phage 11b,65,Flavobacterium
Enterobacteria phage T7M,65,Enterobacteria
Streptococcus phage phi-m46.1,65,Streptococcus
Cellulophaga phage phi18:1,65,Cellulophaga
Staphylococcus phage phiNM3,65,Staphylococcus
Lactococcus phage BK5-T,65,Lactococcus
Enterobacteria phage SfI,65,Enterobacteria
Staphylococcus phage phiPVL-CN125,65,Staphylococcus
Cellulophaga phage phi17:1,65,Cellulophaga
Staphylococcus phage StauST398-5,65,Staphylococcus
Enterobacteria phage phiJLA23,65,Enterobacteria
Staphylococcus phage StauST398-4,65,Staphylococcus
Staphylococcus phage 52A,65,Staphylococcus
Burkholderia phage Bcep43,65,Burkholderia
Fusobacterium phage Funu1,65,Fusobacterium
Mycobacterium phage Trike,65,Mycobacterium
Leuconostoc phage phiMH1,65,Leuconostoc
Haemophilus phage Aaphi23,65,Haemophilus
Staphylococcus phage 55-3,65,Staphylococcus
Stx2-converting phage Stx2a_1447,65,Escherichia
Arthrobacter phage Galaxy,65,Arthrobacter
Pseudomonas phage TL,65,Pseudomonas
Listeria phage B025,65,Listeria
Pseudomonas phage AF,65,Pseudomonas
Staphylococcus phage CNPH82,65,Staphylococcus
Staphylococcus phage StB20,65,Staphylococcus
Salmonella phage ST64T,65,Salmonella
Enterococcus phage phiEf11,65,Enterococcus
Enterobacteria phage SP6,65,Enterobacteria
Mycobacterium phage FlagStaff,65,Mycobacterium
Staphylococcus phage B166,64,Staphylococcus
Salmonella phage wksl3,64,Salmonella
Arthrobacter phage Wayne,64,Arthrobacter
Enterococcus phage phiFL3A,64,Enterococcus
Streptomyces phage phiC31,64,Streptomyces
Streptococcus phage phi5218,64,Streptococcus
Arthrobacter phage Glenn,64,Arthrobacter
Streptococcus phage phi3396,64,Streptococcus
Mycobacterium phage Halo,64,Mycobacterium
Bacillus phage vB_BceS-MY192,64,Bacillus
Lactobacillus phage phiadh,64,Lactobacillus
Erwinia phage PEp14,64,Erwinia
Enterobacteria phage HK544,64,Enterobacteria
Cellulophaga phage phi12:3,64,Cellulophaga
Pelagibacter phage HTVC010P,64,Pelagibacter
Staphylococcus phage phinm1,64,Staphylococcus
Klebsiella phage K64-1,64,Klebsiella
Rhodobacter phage RcapNL,64,Rhodobacter
Klebsiella phage phiKO2,64,Klebsiella
Prochlorococcus phage P-SSP7,64,Prochlorococcus
Arthrobacter phage Preamble,64,Arthrobacter
Salmonella phage 118970_sal4,64,Salmonella
Achromobacter phage phiAxp-1,64,Achromobacter
Salicola phage CGphi29,64,Salicola
Vibrio phage VP16T,64,Vibrio
Cellulophaga phage phi12:1,64,Cellulophaga
Pseudomonas phage vB_PaeP_C1-14_Or,64,Pseudomonas
Streptococcus phage TP-J34,64,Streptococcus
Enterococcus phage phiFL2A,63,Enterococcus
Arthrobacter phage RAP15,63,Arthrobacter
Arthrobacter phage Joann,63,Arthrobacter
Streptococcus phage Spn1,63,Streptococcus
Mycobacterium phage Frosty24,63,Mycobacterium
Bacillus phage BceA1,63,Bacillus
Staphylococcus phage SpaA1,63,Staphylococcus
Mycobacterium phage Hope,63,Mycobacterium
Salmonella phage ST160,63,Salmonella
Wolbachia endosymbiont wVitA of Nasonia vitripennis phage WOVitA1,63,Wolbachia
Enterobacteria phage ST104,63,Enterobacteria
Pectobacterium phage PM1,63,Pectobacterium
Enterobacteria phage K1E,63,Enterobacteria
Enterobacteria phage mEp237,63,Enterobacteria
Acinetobacter phage Ab105-1phi,63,Acinetobacter
Enterobacter phage phiEap-2,63,Enterobacter
Flavobacterium sp. phage 1/32,63,Flavobacterium
Staphylococcus phage SP5,63,Staphylococcus
Staphylococcus phage Sap26,63,Staphylococcus
Arthrobacter phage Bennie,63,Arthrobacter
Clostridium phage phiCD24-1,63,Clostridium
Sodalis phage phiSG1,63,Sodalis
Brucella phage Tb,63,Brucella
Vibrio phage VPp1,63,Vibrio
Synechococcus phage S-CBP4,63,Synechococcus
Clostridium phage phiCT19406C,63,Clostridium
Mycobacterium phage Phreak,63,Mycobacterium
Cellulophaga phage phi18:2,63,Cellulophaga
Bacillus phage phi4I1,63,Bacillus
Mycobacterium phage Cedasite,63,Mycobacterium
Staphylococcus phage 55-2,63,Staphylococcus
Mycobacterium phage BPs,63,Mycobacterium
Salmonella phage SETP3,63,Salmonella
Flavobacterium phage 6H,63,Flavobacterium
Lactobacillus phage J-1,63,Lactobacillus
Enterococcus phage phiFL1B,63,Enterococcus
Escherichia phage YD-2008.s,62,Escherichia
Streptococcus phage phi7917,62,Streptococcus
Mycobacterium phage Annihilator,62,Mycobacterium
Staphylococcus phage SA13,62,Staphylococcus
Acinetobacter phage Bphi-B1251,62,Acinetobacter
Lactobacillus phage PL-1,62,Lactobacillus
Staphylococcus phage DW2,62,Staphylococcus
Phormidium phage MIS-PhV1A,62,Phormidium
Lactobacillus phage CL1,62,Lactobacillus
Salmonella phage SPN9CC,62,Salmonella
Mycobacterium phage Jolie2,62,Mycobacterium
Lactococcus phage 936 group phage Phi10.5,62,Lactococcus
Vibrio phage ICP2_2006_A,62,Vibrio
Lactococcus phage bIL285,62,Lactococcus
Vibrio phage vB_VpaM_MAR,62,Vibrio
Staphylococcus phage YMC/09/04/R1988,62,Staphylococcus
Enterobacteria phage HX01,62,Enterobacteria
Staphylococcus phage StauST398-2,62,Staphylococcus
Arthrobacter phage Immaculata,62,Arthrobacter
Staphylococcus phage PVL,62,Staphylococcus
Staphylococcus phage IME-SA4,62,Staphylococcus
Arthrobacter phage Korra,62,Arthrobacter
Listeria phage A006,62,Listeria
Enterobacteria phage HK97,62,Enterobacteria
Xanthomonas phage OP2,62,Xanthomonas
Escherichia phage ECBP5,62,Escherichia
Geobacillus phage GBK2,62,Geobacillus
Staphylococcus phage Ipla35,62,Staphylococcus
Mycobacterium phage Gomashi,62,Mycobacterium
Clostridium phage phiCT453A,62,Clostridium
Enterobacteria phage EK99P-1,62,Enterobacteria
Pseudoalteromonas phage TW1,62,Pseudoalteromonas
Salmonella phage f2SE,62,Salmonella
Staphylococcus phage phiRS7,62,Staphylococcus
Clostridium phage phiCP39-O,62,Clostridium
Vibrio phage VP16C,62,Vibrio
Lactococcus phage ul36,62,Lactococcus
Listeria phage P40,62,Listeria
Enterobacter phage phiKDA1,62,Enterobacter
Mycobacterium phage Avrafan,62,Mycobacterium
Lactococcus phage bIL286,61,Lactococcus
Shigella phage SfII,61,Shigella
Pseudomonas phage JBD26,61,Pseudomonas
Staphylococcus phage vB_SauS_phi2,61,Staphylococcus
Salmonella phage SE2,61,Salmonella
Salmonella phage FSL SP-049,61,Salmonella
Enterococcus phage phiFL1A,61,Enterococcus
Lactobacillus phage A2,61,Lactobacillus
Bifidobacterium phage Bbif-1,61,Bifidobacterium
Arthrobacter phage Pumancara,61,Arthrobacter
Lactobacillus phage KC5a,61,Lactobacillus
Staphylococcus phage 80,61,Staphylococcus
Mycobacterium phage RonRayGun,61,Mycobacterium
Salmonella phage f3SE,61,Salmonella
Staphylococcus phage SP6,61,Staphylococcus
Mycobacterium phage Liefie,61,Mycobacterium
Enterobacteria phage mEp235,61,Enterobacteria
Streptomyces phage VWB,61,Streptomyces
Salmonella phage SEN22,61,Salmonella
Moraxella phage Mcat22,61,Moraxella
Pectobacterium phage Peat1,61,Pectobacterium
Achromobacter phage JWX,61,Achromobacter
Rhodobacter phage RcSpartan,61,Rhodobacter
Rhodobacter phage RcTitan,61,Rhodobacter
Clostridium phage phiCT453B,61,Clostridium
Enterobacterial phage mEp234,61,Enterobacterial
Synechococcus phage Syn5,61,Synechococcus
Xanthomonas phage f29-Xaj,61,Xanthomonas
Rhizobium phage RHEph09,61,Rhizobium
Mycobacterium phage Angel,61,Mycobacterium
Enterobacteria phage PRD1,61,Enterobacteria
Lactococcus lactis phage p272,61,Lactococcus
uncultured phage MedDCM-OCT-S04-C348,61,uncultured
Rhizobium phage RHEph02,60,Rhizobium
Thermus phage phi OH2,60,Thermus
Campylobacter phage CJIE4-1,60,Campylobacter
Lactobacillus phage iLp84,60,Lactobacillus
Staphylococcus phage phi2958PVL,60,Staphylococcus
Enterobacteria phage IME_EC2,60,Enterobacteria
Mycobacterium phage Sedge,60,Mycobacterium
Lactobacillus phage ATCC8014,60,Lactobacillus
Streptococcus phage PH15,60,Streptococcus
Bacillus phage phiBTP1,60,Bacillus
Arthrobacter phage Vulture,60,Arthrobacter
Rhodococcus phage REQ3,60,Rhodococcus
Escherichia phage HK578,60,Escherichia
Lactococcus phage 936 group phage PhiE1127,60,Lactococcus
Enterobacteria phage JL1,60,Enterobacteria
Salmonella phage FSL SP-016,60,Salmonella
Lactococcus phage ul36.k1,60,Lactococcus
Lactobacillus phage CL2,60,Lactobacillus
Listeria phage vB_LmoS_188,60,Listeria
Enterobacteria phage HK446,60,Enterobacteria
Staphylococcus phage Ipla88,60,Staphylococcus
Xanthomonas phage Xp10,60,Xanthomonas
Staphylococcus phage Slt,60,Staphylococcus
Streptococcus phage MM1,60,Streptococcus
Enterobacteria phage cdtI,60,Enterobacteria
Mycobacterium phage Bernal13,60,Mycobacterium
Escherichia phage D108,60,Escherichia
Arthrobacter phage HunterDalle,60,Arthrobacter
Mycobacterium phage DNAIII,60,Mycobacterium
Salmonella phage 18-India,60,Salmonella
Enterobacteria phage phiP27,60,Enterobacteria
Enterococcus phage IME-EF4,60,Enterococcus
Salmonella phage vB_SenS-Ent3,60,Salmonella
Lactococcus phage 936 group phage PhiM1127,59,Lactococcus
Listeria phage PSA,59,Listeria
Salmonella phage ST64B,59,Salmonella
Mycobacterium phage Guo1,59,Mycobacterium
Pseudomonas phage PAN70,59,Pseudomonas
Pseudomonas phage phi-2,59,Pseudomonas
Enterococcus phage Ec-ZZ2,59,Enterococcus
Lactococcus Phage ASCC460,59,Lactococcus
Staphylococcus phage Pvl108,59,Staphylococcus
Salmonella phage FSL SP-031,59,Salmonella
Enterobacteria phage mEp460,59,Enterobacteria
Lactococcus Phage ASCC397,59,Lactococcus
Staphylococcus phage tp310-1,59,Staphylococcus
Sodalis phage SO1,59,Sodalis
Pseudomonas phage YMC11/11/R1836,59,Pseudomonas
Lactococcus Phage ASCC406,59,Lactococcus
Lactococcus phage jm2,59,Lactococcus
Yersinia phage phiYeO3-12,59,Yersinia
Pelagibacter phage HTVC019P,59,Pelagibacter
Campylobacter phage CJIE4-5,59,Campylobacter
Enterobacterial phage mEp390,59,Enterobacterial
Staphylococcus phage Ipla7,59,Staphylococcus
Persicivirga phage P12024S,59,Persicivirga
Rhizobium phage RHEph08,59,Rhizobium
Lactobacillus phage phiLdb,59,Lactobacillus
Enterobacteria phage HK542,59,Enterobacteria
Lactococcus Phage ASCC476,59,Lactococcus
uncultured phage MedDCM-OCT-S04-C26,59,uncultured
Synechococcus phage S-RIP1,59,Synechococcus
Klebsiella phage vB_Kp3,59,Klebsiella
Oenococcus phage phiS11,59,Oenococcus
Prochlorococcus phage MED4-184,59,Prochlorococcus
Lactococcus Phage ASCC191,59,Lactococcus
Erwinia phage ENT90,59,Erwinia
Xanthomonas phage OP1,59,Xanthomonas
Lactococcus phage 936 group phage Phi4.2,59,Lactococcus
Enterococcus phage phiFL2B,59,Enterococcus
Staphylococcus phage StB20-like,59,Staphylococcus
Pseudomonas phage JBD5,59,Pseudomonas
Lactococcus phage P008,59,Lactococcus
Pseudomonas phage B3,59,Pseudomonas
Enterococcus phage EFC-1,59,Enterococcus
Pseudomonas phage vB_PaeS_PAO1_Ab30,59,Pseudomonas
Rhizobium phage RHEph03,59,Rhizobium
Arthrobacter phage DrRobert,59,Arthrobacter
Mycobacterium phage Leo,59,Mycobacterium
Lactococcus phage 936 group phage PhiL.6,59,Lactococcus
Clostridium phage phiCD6356,59,Clostridium
Brucella phage Tb_141,58,Brucella
Brucella phage 110_141,58,Brucella
Pseudomonas phage vB_Pae-Kakheti25,58,Pseudomonas
Brucella phage 1066_19,58,Brucella
Brucella phage V_19,58,Brucella
Staphylococcus phage SA12,58,Staphylococcus
Brucella phage 02_141,58,Brucella
Brucella phage 544_19,58,Brucella
Lactococcus phage TP712,58,Lactococcus
Lactococcus lactis phage P475,58,Lactococcus
Erwinia phage phiEa116,58,Erwinia
Stenotrophomonas phage vB_SmaS-DLP_2,58,Stenotrophomonas
Pseudomonas phage JBD24,58,Pseudomonas
Vibrio phage VP58.5,58,Vibrio
Klebsiella phage vB_Kp2,58,Klebsiella
Salmonella phage HK620,58,Salmonella
Persicivirga phage P12024L,58,Persicivirga
Brucella phage F1,58,Brucella
Moraxella phage Mcat24,58,Moraxella
Brucella phage 110_19,58,Brucella
Mycobacterium phage Legendre,58,Mycobacterium
Brucella phage 141_19,58,Brucella
Campylobacter phage CJIE4-2,58,Campylobacter
Brucella phage 281_19,58,Brucella
Mycobacterium phage Bo4,58,Mycobacterium
Staphylococcus phage tp310-3,58,Staphylococcus
Xanthomonas phage Xop411,58,Xanthomonas
Lactococcus Phage ASCC324,58,Lactococcus
Campylobacter phage CJIE4-4,58,Campylobacter
Brucella phage 1066_141,58,Brucella
Lactococcus Phage ASCC337,58,Lactococcus
Escherichia phage slur05,58,Escherichia
Escherichia phage slur06,58,Escherichia
Lactococcus Phage ASCC368,58,Lactococcus
Brucella phage Fz,58,Brucella
Brucella phage 11sa_19,58,Brucella
Bacillus phage BCJA1c,58,Bacillus
Campylobacter phage CJIE4-3,58,Campylobacter
Lactococcus Phage ASCC395,58,Lactococcus
Lactococcus Phage ASCC527,58,Lactococcus
Brucella phage 141_141,58,Brucella
Pseudomonas phage H70,58,Pseudomonas
Lactococcus lactis phage P113G,58,Lactococcus
Pseudomonas phage JD024,58,Pseudomonas
Enterobacteria phage UAB_Phi78,58,Enterobacteria
Brochothrix phage NF5,58,Brochothrix
Pseudoalteromonas phage B8b,58,Pseudoalteromonas
Lactococcus Phage ASCC502,58,Lactococcus
Xanthomonas phage phiL7,58,Xanthomonas
Lactococcus phage 936 group phage Phi91127,58,Lactococcus
Bacillus phage TP21-L,58,Bacillus
Flavobacterium phage FpV9,58,Flavobacterium
Lactococcus Phage ASCC506,58,Lactococcus
Salmonella phage Ent1,58,Salmonella
Lactococcus phage 340,58,Lactococcus
Lactococcus Phage ASCC544,58,Lactococcus
Lactococcus phage 936 group phage PhiJF1,58,Lactococcus
Brucella phage 02_19,58,Brucella
Mycobacterium phage Chy2,58,Mycobacterium
Brucella phage V_141,58,Brucella
Brucella phage 544_141,58,Brucella
Pseudomonas phage vB_PaeP_p2-10_Or1,58,Pseudomonas
Lactobacillus phage Sha1,58,Lactobacillus
uncultured phage crAssphage,58,uncultured
Lactococcus Phage ASCC273,58,Lactococcus
Salmonella phage SS3e,58,Salmonella
Lactococcus phage 936 group phage PhiM.5,58,Lactococcus
Mycobacterium phage Chy3,58,Mycobacterium
Streptococcus phage 34117,58,Streptococcus
Lactococcus phage 936 group phage PhiG,58,Lactococcus
Brucella phage 177_19,58,Brucella
Brucella phage Tbilisi,58,Brucella
Pseudomonas phage PaP2,58,Pseudomonas
Brucella phage 281_141,58,Brucella
Escherichia phage HK75,58,Escherichia
Salmonella phage LSPA1,58,Salmonella
Lactococcus Phage ASCC287,58,Lactococcus
Rhodobacter phage RcapMu,58,Rhodobacter
Brucella phage 11sa_141,58,Brucella
Lactococcus Phage ASCC454,58,Lactococcus
Pseudomonas phage JBD69,57,Pseudomonas
Vibrio phage ICP2_2013_A_Haiti,57,Vibrio
Streptococcus phage Str-PAP-1,57,Streptococcus
Lactococcus phage phi7,57,Lactococcus
Brucella phage Pr,57,Brucella
Phormidium phage MIS-PhV1B,57,Phormidium
Cronobacter phage vB_CsaP_Ss1,57,Cronobacter
Citrobacter phage CR8,57,Citrobacter
Streptococcus phage O1205,57,Streptococcus
Lactococcus Phage ASCC281,57,Lactococcus
Salisaeta icosahedral phage 1,57,Salisaeta
Vibrio phage pYD38-B,57,Vibrio
Gordonia phage GTE2,57,Gordonia
Salmonella phage FSL SP-101,57,Salmonella
Lactococcus Phage ASCC358,57,Lactococcus
Lactobacillus phage LF1,57,Lactobacillus
Moraxella phage Mcat4,57,Moraxella
Streptococcus phage phi1207.3,57,Streptococcus
Lactococcus Phage ASCC531,57,Lactococcus
Lactococcus Phage ASCC473,57,Lactococcus
Streptococcus phage V22,57,Streptococcus
Enterococcus phage vB_IME196,57,Enterococcus
Pediococcus phage clP1,57,Pediococcus
Achromobacter phage 83-24,57,Achromobacter
Lactococcus phage TP901-1,57,Lactococcus
Staphylococcus phage 2638A,57,Staphylococcus
Exiguobacterium phage vB_EauS-123,57,Exiguobacterium
Citrobacter phage CR44b,57,Citrobacter
Thermoanaerobacterium phage THSA-485A,57,Thermoanaerobacterium
Lactococcus phage 936 group phage PhiF0139,57,Lactococcus
Streptococcus phage 040922,57,Streptococcus
Lactococcus phage 936 group phage Phi40,57,Lactococcus
Pantoea phage LIMEzero,57,Pantoea
Arthrobacter phage Jasmine,57,Arthrobacter
Brucella phage 177_141,57,Brucella
Escherichia phage TL-2011b,57,Escherichia
Pseudomonas phage LKA1,57,Pseudomonas
Streptococcus phage phi891591,57,Streptococcus
Klebsiella phage KP34,57,Klebsiella
Vibrio phage VHML,57,Vibrio
Pseudomonas phage D3112,57,Pseudomonas
Lactococcus Phage ASCC365,57,Lactococcus
Mycobacterium phage Clark,57,Mycobacterium
Lactococcus phage 712,57,Lactococcus
Lactococcus Phage ASCC284,57,Lactococcus
Staphylococcus phage LH1,57,Staphylococcus
Acinetobacter phage IME_AB3,57,Acinetobacter
Bacillus phage BtCS33,57,Bacillus
Shigella phage EP23,57,Shigella
Stenotrophomonas phage vB_SmaS-DLP_1,57,Stenotrophomonas
Lactococcus phage 936 group phage Phi.16,57,Lactococcus
Escherichia phage vB_EcoM_ECO1230-10,56,Escherichia
Paenibacillus phage HB10c2,56,Paenibacillus
Lactococcus Phage ASCC465,56,Lactococcus
Moraxella phage Mcat8,56,Moraxella
Celeribacter phage P12053L,56,Celeribacter
Acyrthosiphon pisum secondary endosymbiont phage 1,56,Acyrthosiphon
Moraxella phage Mcat6,56,Moraxella
Lactococcus Phage ASCC497,56,Lactococcus
Enterobacteria phage vB_EcoP_ACG-C91,56,Enterobacteria
Brucella phage R/C,56,Brucella
Vibrio phage pre-CTX,56,Vibrio
Pseudomonas phage vB_PaeS_PM105,56,Pseudomonas
Lactococcus phage 936 group phage Phi17,56,Lactococcus
Synechococcus phage S-RIP2,56,Synechococcus
Brucella phage Bk,56,Brucella
Lactococcus phage Tuc2009,56,Lactococcus
Streptococcus phage phiSS12,56,Streptococcus
Streptococcus phage 2167,56,Streptococcus
Pseudoalteromonas phage RIO-1,56,Pseudoalteromonas
Geobacillus phage GBSV1,56,Geobacillus
Salmonella phage vB_SenS-Ent2,56,Salmonella
Streptococcus phage Sfi21,56,Streptococcus
Pseudomonas phage PaMx73,56,Pseudomonas
Pseudomonas phage PaMx42,56,Pseudomonas
Idiomarinaceae phage 1N2-2,56,Idiomarinaceae
Bacillus phage phi4B1,56,Bacillus
Streptococcus phage SM1,56,Streptococcus
Bacillus phage phiCM3,56,Bacillus
Brucella phage S708,56,Brucella
Rhodovulum phage RS1,56,Rhodovulum
Pseudomonas phage JBD30,56,Pseudomonas
Lactococcus phage 936 group phage PhiF.17,56,Lactococcus
Listeria phage P35,56,Listeria
Vibrio phage VBM1,56,Vibrio
Paracoccus phage Shpa,56,Paracoccus
Pseudoalteromonas phage Pq0,56,Pseudoalteromonas
Streptococcus phage phiST1,56,Streptococcus
Lactococcus phage bIL309,56,Lactococcus
Rhodobacter phage RC1,56,Rhodobacter
Brucella phage Wb,56,Brucella
Lactobacillus phage phiAQ113,56,Lactobacillus
Streptococcus phage DCC1738,56,Streptococcus
Pseudomonas phage JBD88a,55,Pseudomonas
Clostridium phage phiCD38-2,55,Clostridium
Pectobacterium phage PPWS1,55,Pectobacterium
Burkholderia phage KL1,55,Burkholderia
Lactococcus phage 936 group phage Phi19.2,55,Lactococcus
Temperate phage phiNIH1.1,55,Temperate
Streptomyces phage phiBT1,55,Streptomyces
Rhizobium phage RHEph01,55,Rhizobium
Lactococcus Phage ASCC310,55,Lactococcus
Synechococcus phage P60,55,Synechococcus
Streptomyces phage Chymera,55,Streptomyces
Caulobacter phage Percy,55,Caulobacter
Lactococcus phage 936 group phage Phi155,55,Lactococcus
Streptococcus phage YMC-2011,55,Streptococcus
Streptomyces phage SV1,55,Streptomyces
Pantoea phage LIMElight,55,Pantoea
Ralstonia phage RS138,55,Ralstonia
Lactobacillus phage phiAT3,55,Lactobacillus
Lactococcus phage CB13,55,Lactococcus
Pseudomonas phage JBD25,55,Pseudomonas
Pseudomonas phage JBD93,55,Pseudomonas
Clostridium phage phiCD111,55,Clostridium
Yersinia phage phi80-18,55,Yersinia
Pseudomonas phage FHA0480,55,Pseudomonas
Haemophilus phage SuMu,55,Haemophilus
Lactococcus Phage ASCC532,55,Lactococcus
Salmonella phage FSL SP-038,55,Salmonella
Lactococcus phage BM13,55,Lactococcus
Lactobacillus phage phig1e,55,Lactobacillus
Burkholderia phage phiE255,55,Burkholderia
Enterobacteria phage G4,55,Enterobacteria
Pseudomonas phage DL62,55,Pseudomonas
Moraxella phage Mcat27,55,Moraxella
Lactococcus phage phi93,55,Lactococcus
Halorubrum phage CGphi46,55,Halorubrum
Enterobacteria phage SfMu,55,Enterobacteria
Streptococcus phage phiNJ2,55,Streptococcus
Enterobacteria phage 13a,55,Enterobacteria
Lactococcus phage phi15,55,Lactococcus
Listeria phage LP-083-1,55,Listeria
Klebsiella phage vB_KpnP_KpV41,55,Klebsiella
Escherichia phage phiV10,55,Escherichia
Salmonella phage phiSG-JL2,55,Salmonella
Clostridium phage phiCP13O,55,Clostridium
Lactococcus phage phi145,55,Lactococcus
Lactococcus phage 936 group phage PhiL.18,55,Lactococcus
Oenococcus phage phi9805,55,Oenococcus
Enterobacteria phage CP-1639,55,Enterobacteria
Enterococcus phage phiFL4A,55,Enterococcus
Bacillus phage Cherry,55,Bacillus
Lactococcus Phage ASCC356,54,Lactococcus
Acinetobacter phage Abp1,54,Acinetobacter
Ralstonia phage phiITL-1,54,Ralstonia
Oenococcus phage phiS13,54,Oenococcus
Prochlorococcus phage P-SSP3,54,Prochlorococcus
Cellulophaga phage phi46:1,54,Cellulophaga
Lactococcus phage 936 group phage Phi13.16,54,Lactococcus
Streptomyce phage TG1,54,Streptomyce
Staphylococcus phage SA97,54,Staphylococcus
Klebsiella phage vB_KpnP_SU552A,54,Klebsiella
Clostridium phage phiCD481-1,54,Clostridium
Lactobacillus phage Lrm1,54,Lactobacillus
Corynebacterium phage BFK20,54,Corynebacterium
Lactobacillus phage phi jlb1,54,Lactobacillus
Bacillus phage 250,54,Bacillus
Lactococcus phage 936 group phage Phi43,54,Lactococcus
Lactococcus phage SK1,54,Lactococcus
Lactococcus phage bIBB29,54,Lactococcus
Lactococcus phage 936 group phage Phi109,54,Lactococcus
Edwardsiella phage eiAU-183,54,Edwardsiella
Vibrio phage ICP3,54,Vibrio
Lactococcus phage 936 group phage PhiM.16,54,Lactococcus
Pseudomonas phage vB_PaeP_PPA-ABTNL,54,Pseudomonas
Pseudomonas phage vB_Pae_PS9N,54,Pseudomonas
Pseudomonas phage PT2,54,Pseudomonas
Klebsiella phage vB_KpnP_SU503,54,Klebsiella
Pseudomonas phage LUZ19,54,Pseudomonas
Streptococcus phage phiS10,54,Streptococcus
Streptococcus phage PH10,54,Streptococcus
Acinetobacter phage Fri1,54,Acinetobacter
Pseudomonas phage LPB1,54,Pseudomonas
Lactococcus phage fd13,54,Lactococcus
Streptococcus phage phi20c,54,Streptococcus
Pseudomonas phage vB_PaeP_PAO1_Ab05,54,Pseudomonas
Lactococcus phage 936 group phage Phi129,54,Lactococcus
Lactococcus Phage ASCC489,54,Lactococcus
Marinomonas phage P12026,54,Marinomonas
Shigella phage SfIV,54,Shigella
Ralstonia phage RSK1,54,Ralstonia
Streptococcus phage phiARI0460-2,53,Streptococcus
Enterobacteria phage P88,53,Enterobacteria
Shigella phage SfV,53,Shigella
Lactococcus phage 936 group phage Phi114,53,Lactococcus
Vibrio phage VPMS1,53,Vibrio
Clostridium phage phiSM101,53,Clostridium
Lactococcus phage 936 group phage PhiS0139,53,Lactococcus
Lactococcus phage 936 group phage PhiB1127,53,Lactococcus
Lactococcus phage 936 group phage PhiC0139,53,Lactococcus
Pseudomonas phage phikF77,53,Pseudomonas
Pseudomonas phage LKD16,53,Pseudomonas
uncultured phage MedDCM-OCT-S04-C1161,53,uncultured
Lactococcus phage 936 group phage Phi5.12,53,Lactococcus
Salmonella phage SEN4,53,Salmonella
Streptococcus phage 8140,53,Streptococcus
Xanthomonas phage f20-Xaj,53,Xanthomonas
Burkholderia phage BcepMu (isolate -/United States/Summer/2002),53,Burkholderia
Bacillus phage WBeta,53,Bacillus
Proteus phage vB_PmiP_Pm5460,53,Proteus
Clostridium phage phiCD506,53,Clostridium
Pseudomonas phage MPK7,53,Pseudomonas
Salmonella phage f18SE,53,Salmonella
Streptococcus phage P9,53,Streptococcus
uncultured phage MedDCM-OCT-S04-C890,53,uncultured
Burkholderia phage BEK,53,Burkholderia
Streptococcus phage MM1 1998,53,Streptococcus
Bacillus phage Gamma isolate d'Herelle,53,Bacillus
Erwinia amylovora phage Era103,53,Erwinia
Lactobacillus phage Lc-Nu,53,Lactobacillus
Salmonella phage fSE1C,53,Salmonella
Moraxella phage Mcat29,53,Moraxella
Xanthomonas phage f30-Xaj,53,Xanthomonas
Lactococcus phage SK1833,53,Lactococcus
Streptococcus phage K13,53,Streptococcus
Acinetobacter phage vB_AbaP_Acibel007,53,Acinetobacter
Bacillus phage BMBtp2,53,Bacillus
Lactococcus phage ul36.k1t1,53,Lactococcus
Staphylococcus phage StB27,53,Staphylococcus
Klebsiella phage vB_KpnP_KpV71,53,Klebsiella
Enterobacteria phage EcoDS1,53,Enterobacteria
Pseudomonas phage MP42,53,Pseudomonas
Enterobacteria phage f1,53,Enterobacteria
Lactococcus phage 936 group phage PhiD.18,53,Lactococcus
Pseudomonas phage JBD16C,53,Pseudomonas
Moraxella phage Mcat18,53,Moraxella
Staphylococcus phage TEM126,53,Staphylococcus
Xylella phage Prado,52,Xylella
Lactococcus phage jm3,52,Lactococcus
Enterobacteria phage K1-5,52,Enterobacteria
Salmonella phage SPN1S,52,Salmonella
Vibrio phage VP3,52,Vibrio
Burkholderia phage KL3,52,Burkholderia
Moraxella phage Mcat2,52,Moraxella
Streptomyces phage mu1/6,52,Streptomyces
Pseudomonas phage JBD67,52,Pseudomonas
Yersinia phage YpP-R,52,Yersinia
